af_1 01.jpg,103,103,123,123,cell
af_1 02.jpg,102,101,124,120,cell
af_1 03.jpg,106,100,126,120,cell
af_1 04.jpg,105,94,125,114,cell
af_1 05.jpg,106,97,126,117,cell
af_1 06.jpg,109,89,129,109,cell
af_1 07.jpg,110,87,130,117,cell
af_1 08.jpg,117,87,137,107,cell
af_1 09.jpg,109,81,129,101,cell
af_1 10.jpg,109,81,129,101,cell
af_1 11.jpg,113,74,133,94,cell
af_1 12.jpg,108,70,128,90,cell
af_1 13.jpg,113,71,133,91,cell
af_1 14.jpg,110,64,130,84,cell
af_1 15.jpg,109,63,129,83,cell
af_1 16.jpg,109,60,132,80,cell
af_1 17.jpg,103,57,125,76,cell
af_1 18.jpg,109,54,131,73,cell
af_1 19.jpg,109,49,131,69,cell
af_1 20.jpg,107,48,129,67,cell
af_1 21.jpg,109,45,131,64,cell
af_1 22.jpg,110,41,131,61,cell
af_1 23.jpg,108,40,130,59,cell
af_1 24.jpg,112,37,134,56,cell
af_1 25.jpg,109,35,129,53,cell
af_1 01.jpg,101,559,118,575,cell
af_1 02.jpg,100,558,118,575,cell
af_1 03.jpg,100,558,120,575,cell
af_1 04.jpg,100,558,120,575,cell
af_1 05.jpg,100,558,120,575,cell
af_1 06.jpg,100,558,120,575,cell
af_1 07.jpg,100,558,120,575,cell
af_1 08.jpg,100,558,120,575,cell
af_1 09.jpg,100,558,120,575,cell
af_1 10.jpg,100,558,120,575,cell
af_1 11.jpg,100,558,120,575,cell
af_1 12.jpg,100,558,120,575,cell
af_1 13.jpg,100,558,120,575,cell
af_1 14.jpg,100,558,120,575,cell
af_1 15.jpg,100,559,120,576,cell
af_1 16.jpg,100,559,119,576,cell
af_1 17.jpg,100,559,119,575,cell
af_1 18.jpg,99,559,119,576,cell
af_1 19.jpg,100,558,120,576,cell
af_1 20.jpg,100,559,119,576,cell
af_1 21.jpg,99,558,120,576,cell
af_1 22.jpg,100,558,120,576,cell
af_1 23.jpg,99,559,120,576,cell
af_1 24.jpg,99,558,120,576,cell
af_1 25.jpg,100,558,120,576,cell
